	Alternate Symbols
C9orf156	HSPC219,NAP1
PYGO1	
EPC2	DKFZP566F2124
FATE1	CT43
TRAPPC5	MGC52424,TRS31
KIAA1328	
TEX264	FLJ13935,ZSIG11
OR11J5P	
DAND5	CER2,CKTSF1B3,DANTE,DTE,FLJ38607,GREM3
SMAD7	
CDK8PS	
IVNS1ABP	HSPC068,KIAA0850,KLHL39,ND1,NS-1,NS1-BP
ZNF626	
EEF1A1P2	
WNK4	
AEBP2	MGC17922
EFCAB11	
SLC36A3	PAT3,TRAMD2,tramdorin2
RASIP1	FLJ20401
RPLP1P1	
NDST4	
RGS21	
HIST3H2BB	
GMPPB	KIAA1851
EBPL	EBRP
PLCZ1	NYD-SP27,PLCzeta
CHST11	C4ST,C4ST1,C4St-1,HSA269537
FIP1L1	DKFZp586K0717
NUTM2A	
OFD1P3Y	
OR4X7P	
HSPB9	CT51
DDX42	RHELP,RNAHP,SF3b125
SP5	
DFNB56	
OR13Z1P	
TMEM254	FLJ13263,bA369J21.6
OR7E157P	
ABCC13	C21orf73,PRED6
FUNDC1	MGC51029
SLC35G4	
PSD4	EFA6B
EXOSC2	RRP4,Rrp4p,hRrp4p,p7
RHCG	PDRC2,RHGK,SLC42A3
ZNF564	MGC26914
DISP2	DISPB,HsT16908,KIAA1742
PHF5A	INI,MGC1346,Rds3,SAP14b,SF3b14b,bK223H9.2
DENND1A	FAM31A,FLJ21129
HCG22	FLJ37114,PBMUCL2
TOLLIP	IL-1RAcPIP
GPR157	FLJ12132
CREG2	
FABP5P3	TCAG_1781704
RCOR2	
RNF145	FLJ31951
C14orf79	
MRP63P9	
RPP30	TSG15
C19orf18	MGC41906
CCDC170	FLJ23305,bA282P11.1
RNF126	FLJ20552
ZCCHC10	FLJ20094
FBXO28	CENP-30,FLJ10766,Fbx28,KIAA0483
NANOS1	NOS1
OR2T29	
C9orf123	MGC4730
ZNF480	MGC32104
USP41	
SOX30	
C9orf84	FLJ32779
SYCE1	CT76,bA108K14.6
DNM1DN12@	
COMMD8	FLJ20502
NARSP1	
SLC35D3	
GCC2	GCC185,KIAA0336
C9orf35	
